TaxaName,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Caulobacter vibrioides,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter,4,0.00801507,0.18018
Cellulomonas fimi,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas,2,0.00400753,0.0900901
Cellvibrio japonicus,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio,1,0.00200377,0.045045
Chelativorans sp. BNC1,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Chelativorans,1,0.00200377,0.045045
Chlamydia psittaci,Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia,1,0.00200377,0.045045
Chlamydia trachomatis,Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia,1,0.00200377,0.045045
Chlorobaculum parvum,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum,1,0.00200377,0.045045
Chlorobaculum tepidum,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum,1,0.00200377,0.045045
Chromobacterium violaceum,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium,1,0.00200377,0.045045
Citreicella sp. SE45,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella,1,0.00200377,0.045045
Citrobacter koseri,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter,2,0.00400753,0.0900901
Citrobacter youngae,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter,1,0.00200377,0.045045
Clostridium botulinum,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium,1,0.00200377,0.045045
Clostridium ljungdahlii,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium,1,0.00200377,0.045045
Collimonas fungivorans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas,4,0.00801507,0.18018
Comamonas testosteroni,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas,5,0.0100188,0.225225
Corynebacterium accolens,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,1,0.00200377,0.045045
Corynebacterium halotolerans,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,1,0.00200377,0.045045
Corynebacterium jeikeium,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,2,0.00400753,0.0900901
Corynebacterium pseudotuberculosis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,2,0.00400753,0.0900901
Corynebacterium tuberculostearicum,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,1,0.00200377,0.045045
Corynebacterium urealyticum,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium,1,0.00200377,0.045045
Croceibacter atlanticus,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Croceibacter,1,0.00200377,0.045045
Cronobacter sakazakii,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter,1,0.00200377,0.045045
Cryptococcus neoformans,Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Filobasidiella,1,0.00200377,0.045045
Cupriavidus metallidurans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,7,0.0140264,0.315315
Cupriavidus necator,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,8,0.0160301,0.36036
Cupriavidus pinatubonensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,1,0.00200377,0.045045
Cupriavidus taiwanensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus,8,0.0160301,0.36036
Cyanothece sp. CCY0110,Bacteria;Cyanobacteria;;Chroococcales;;Cyanothece,18,0.0360678,0.810811
Cyclobacterium marinum,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium,1,0.00200377,0.045045
Cylindrospermum stagnale,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae;Cylindrospermum,1,0.00200377,0.045045
Dechloromonas aromatica,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas,6,0.0120226,0.27027
Dehalococcoides mccartyi,Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides,1,0.00200377,0.045045
Dehalogenimonas lykanthroporepellens,Bacteria;Chloroflexi;Dehalococcoidia;;;Dehalogenimonas,1,0.00200377,0.045045
Deinococcus peraridilitoris,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus,1,0.00200377,0.045045
Delftia acidovorans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia,5,0.0100188,0.225225
Delftia sp. Cs1-4,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia,3,0.0060113,0.135135
Desulfatibacillum alkenivorans,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,1,0.00200377,0.045045
Desulfovibrio magneticus,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,1,0.00200377,0.045045
Dictyostelium discoideum,Eukaryota;;;Dictyosteliida;;Dictyostelium,61,0.12223,2.74775
Edwardsiella ictaluri,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella,2,0.00400753,0.0900901
Edwardsiella piscicida,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella,1,0.00200377,0.045045
Enhydrobacter aerosaccus,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter,3,0.0060113,0.135135
Enterobacter asburiae,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter,1,0.00200377,0.045045
Enterobacter sp. 638,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter,1,0.00200377,0.045045
Enterococcus faecium,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,1,0.00200377,0.045045
Eremothecium gossypii,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium,4,0.00801507,0.18018
Erwinia pyrifoliae,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia,2,0.00400753,0.0900901
Erwinia tasmaniensis,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia,1,0.00200377,0.045045
Erythrobacter litoralis,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter,3,0.0060113,0.135135
Erythrobacter sp. SD-21,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter,2,0.00400753,0.0900901
Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia,142,0.284535,6.3964
Faecalitalea cylindroides,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea,1,0.00200377,0.045045
Falciformispora lignatilis,Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Trematosphaeriaceae;Falciformispora,1,0.00200377,0.045045
Ferrimonas balearica,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae;Ferrimonas,2,0.00400753,0.0900901
Finegoldia magna,Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia,1,0.00200377,0.045045
Flavobacteria bacterium BAL38,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;;,4,0.00801507,0.18018
Flavobacterium branchiophilum,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,1,0.00200377,0.045045
Flavobacterium indicum,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,1,0.00200377,0.045045
Flavobacterium johnsoniae,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,3,0.0060113,0.135135
Flavobacterium psychrophilum,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,4,0.00801507,0.18018
Floydiella terrestris,Eukaryota;Chlorophyta;Chlorophyceae;Chaetopeltidales;Chaetopeltidaceae;Floydiella,1,0.00200377,0.045045
Frankia alni,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia,1,0.00200377,0.045045
Frankia sp. EUN1f,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia,1,0.00200377,0.045045
Frankia sp. EuI1c,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia,1,0.00200377,0.045045
Frateuria aurantia,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Frateuria,5,0.0100188,0.225225
Fusobacterium nucleatum,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,3,0.0060113,0.135135
Gallibacterium anatis,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium,1,0.00200377,0.045045
Gardnerella vaginalis,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella,1,0.00200377,0.045045
Gemmata obscuriglobus,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Gemmata,134,0.268505,6.03604
Geobacillus sp. G11MC16,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus,1,0.00200377,0.045045
Geobacillus sp. JF8,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus,1,0.00200377,0.045045
Geobacter metallireducens,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,1,0.00200377,0.045045
Gordonia bronchialis,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Gordoniaceae;Gordonia,1,0.00200377,0.045045
